tuner,source,acc,f1,precision,recall
rs,mn_v,0.9688888888888889,0.9685702516898699,0.9692982012619694,0.9688888888888889
rs,mn_v,0.9466666666666667,0.9459052499601384,0.9482200934561184,0.9466666666666667
rs,mn_v,0.9488888888888889,0.9489658294221881,0.9497465923643785,0.9488888888888889
rs,mn_v,0.9666666666666667,0.9666119196899778,0.96771782518532,0.9666666666666667
rs,mn_v,0.9666666666666667,0.9666307015911024,0.9674673962083803,0.9666666666666667
rs,mn_v,0.9666666666666667,0.9666550912950107,0.9670757388975888,0.9666666666666667
rs,mn_v,0.9622222222222222,0.962399778407398,0.9637577319974484,0.9622222222222222
rs,mn_v,0.9622222222222222,0.9622942706036463,0.9630487401319523,0.9622222222222222
rs,mn_v,0.9644444444444444,0.9644329928824954,0.9651965576023548,0.9644444444444444
rs,mn_v,0.9466666666666667,0.9460934054823603,0.9474059166501027,0.9466666666666667
rs,mn_v,0.9622222222222222,0.9621713578720836,0.9631916766082005,0.9622222222222222
rs,mn_v,0.9533333333333334,0.9534119786879378,0.95525282933754,0.9533333333333334
rs,mn_v,0.9488888888888889,0.9489656924663853,0.9492773595975483,0.9488888888888889
rs,mn_v,0.9577777777777777,0.9576295800500495,0.9587038824432647,0.9577777777777777
rs,mn_v,0.9555555555555556,0.9553512257874524,0.9558991249884866,0.9555555555555556
rs,mn_v,0.96,0.9600084157566995,0.9605587137525121,0.96
rs,mn_v,0.9644444444444444,0.9644034155508099,0.965057696293947,0.9644444444444444
rs,mn_v,0.96,0.9598773438848079,0.9608404639754808,0.96
rs,mn_v,0.9755555555555555,0.9755857235969027,0.9759545964776837,0.9755555555555555
rs,mn_v,0.9622222222222222,0.9623114493399536,0.9628796990908792,0.9622222222222222
rs,mn_v,0.9688888888888889,0.968856381467983,0.9692094768218728,0.9688888888888889
rs,mn_v,0.9422222222222222,0.9422839234820609,0.9429717402895698,0.9422222222222222
rs,mn_v,0.96,0.9599335247812772,0.9602654782351066,0.96
rs,mn_v,0.9666666666666667,0.9666426127938351,0.96781650448073,0.9666666666666667
rs,mn_v,0.9577777777777777,0.9579779326948431,0.9603335371298293,0.9577777777777777
rs,mn_v,0.9555555555555556,0.9551001672672678,0.9568693799568562,0.9555555555555556
rs,mn_v,0.9622222222222222,0.962202748059274,0.9629810728800378,0.9622222222222222
rs,mn_v,0.9666666666666667,0.9666870509418085,0.9674897374316599,0.9666666666666667
rs,mn_v,0.9622222222222222,0.9620658014599746,0.9631842937698312,0.9622222222222222
rs,mn_v,0.9577777777777777,0.9578404255737413,0.9588878069658211,0.9577777777777777
rs,mn_v,0.9577777777777777,0.9578317868202584,0.9580770508623558,0.9577777777777777
rs,mn_v,0.9666666666666667,0.9665714277128007,0.9670529082767845,0.9666666666666667
rs,mn_v,0.9511111111111111,0.9513029255571513,0.9523025773008524,0.9511111111111111
gp,mn_v,0.9511111111111111,0.9508409478004424,0.9523583608406303,0.9511111111111111
gp,mn_v,0.9511111111111111,0.9506694450359544,0.9518367225313407,0.9511111111111111
gp,mn_v,0.9577777777777777,0.9575443699722271,0.9580051837256709,0.9577777777777777
gp,mn_v,0.9711111111111111,0.9709719811557852,0.9713319454284354,0.9711111111111111
gp,mn_v,0.9511111111111111,0.9513748272658606,0.9529351731480145,0.9511111111111111
gp,mn_v,0.9666666666666667,0.9666117924081532,0.9673375336831922,0.9666666666666667
gp,mn_v,0.9511111111111111,0.951038151603002,0.9523078738924119,0.9511111111111111
gp,mn_v,0.9666666666666667,0.966897273671385,0.9675326159432331,0.9666666666666667
gp,mn_v,0.9622222222222222,0.9620838442853319,0.9626189474881706,0.9622222222222222
gp,mn_v,0.9511111111111111,0.9506566994482936,0.9519920610790176,0.9511111111111111
gp,mn_v,0.9577777777777777,0.957580870401282,0.9587998415840985,0.9577777777777777
gp,mn_v,0.96,0.9599808561694876,0.9611257012988418,0.96
gp,mn_v,0.9444444444444444,0.9444353328429529,0.9454439862273019,0.9444444444444444
gp,mn_v,0.9533333333333334,0.9536144066796328,0.9551802888756378,0.9533333333333334
gp,mn_v,0.9622222222222222,0.9623746290987963,0.9635367686527108,0.9622222222222222
gp,mn_v,0.9555555555555556,0.9557155295353251,0.9567997409355766,0.9555555555555556
gp,mn_v,0.9733333333333334,0.9732956969794373,0.9738585614600107,0.9733333333333334
gp,mn_v,0.9533333333333334,0.9530832019463369,0.9539206275155072,0.9533333333333334
gp,mn_v,0.9688888888888889,0.9690100322039154,0.9700365212625072,0.9688888888888889
gp,mn_v,0.9666666666666667,0.966825375417012,0.9679834591602707,0.9666666666666667
gp,mn_v,0.9644444444444444,0.9643798120754324,0.9659198646365603,0.9644444444444444
gp,mn_v,0.9266666666666666,0.9265407443689402,0.9274211332427751,0.9266666666666666
gp,mn_v,0.9555555555555556,0.9556456964922779,0.9567103116121931,0.9555555555555556
gp,mn_v,0.96,0.9598655204992778,0.9604351531858533,0.96
gp,mn_v,0.96,0.9601581687735787,0.961333698635286,0.96
gp,mn_v,0.9511111111111111,0.9507049183281134,0.9515271764382909,0.9511111111111111
gp,mn_v,0.9622222222222222,0.9622899006833039,0.9628466506503863,0.9622222222222222
gp,mn_v,0.96,0.9599841321411486,0.9609977178062284,0.96
gp,mn_v,0.9733333333333334,0.9732313203955962,0.974245809370447,0.9733333333333334
gp,mn_v,0.9644444444444444,0.9644440522483593,0.9652211723308068,0.9644444444444444
gp,mn_v,0.9577777777777777,0.9580160686305572,0.9586308983555359,0.9577777777777777
gp,mn_v,0.9577777777777777,0.9577675230095242,0.9583382934068008,0.9577777777777777
