tuner,source,score,n_conf,time
rs,mn_v,0.9467373281019024,30,274.4887135028839
rs,mn_v,0.9508168445431977,30,274.4887135028839
rs,mn_v,0.9449953605844321,30,274.4887135028839
rs,mn_v,0.9486922471791962,30,274.4887135028839
rs,mn_v,0.9520688714183316,30,274.4887135028839
rs,mn_v,0.9481411658635652,30,274.4887135028839
rs,mn_v,0.9518927821614428,30,274.4887135028839
rs,mn_v,0.948650841983822,30,274.4887135028839
rs,mn_v,0.953388076889888,30,274.4887135028839
rs,mn_v,0.9451669840939043,30,274.4887135028839
rs,mn_v,0.9460610540829437,30,274.4887135028839
rs,mn_v,0.9543370642224354,30,274.4887135028839
rs,mn_v,0.9530976596641902,30,274.4887135028839
rs,mn_v,0.9561316236150844,30,274.4887135028839
rs,mn_v,0.9586732253524028,30,274.4887135028839
rs,mn_v,0.9525270574477516,30,274.4887135028839
rs,mn_v,0.9477040499986893,30,274.4887135028839
rs,mn_v,0.9480001970973271,30,274.4887135028839
rs,mn_v,0.9435142735673281,30,274.4887135028839
rs,mn_v,0.9523393511795393,30,274.4887135028839
rs,mn_v,0.9541161468035069,30,274.4887135028839
rs,mn_v,0.9552655126995587,30,274.4887135028839
rs,mn_v,0.9585732577072749,30,274.4887135028839
rs,mn_v,0.9484851994304101,30,274.4887135028839
rs,mn_v,0.9578010788244364,30,274.4887135028839
rs,mn_v,0.9537480718282112,30,274.4887135028839
rs,mn_v,0.9560649825987696,30,274.4887135028839
rs,mn_v,0.9376500804116814,30,274.4887135028839
rs,mn_v,0.9499214881828799,30,274.4887135028839
rs,mn_v,0.9514842793648226,30,274.4887135028839
gp,mn_v,0.9333742509530489,30,340.2861785888672
gp,mn_v,0.948821631250817,30,340.2861785888672
gp,mn_v,0.9303334497318204,30,340.2861785888672
gp,mn_v,0.9357799031921543,30,340.2861785888672
gp,mn_v,0.9300855780687494,30,340.2861785888672
gp,mn_v,0.9277061044508027,30,340.2861785888672
gp,mn_v,0.945306124983812,30,340.2861785888672
gp,mn_v,0.9331732754933333,30,340.2861785888672
gp,mn_v,0.9337295050901758,30,340.2861785888672
gp,mn_v,0.927410704974959,30,340.2861785888672
gp,mn_v,0.9294450168688535,30,340.2861785888672
gp,mn_v,0.9380217976090034,30,340.2861785888672
gp,mn_v,0.9469250978048136,30,340.2861785888672
gp,mn_v,0.9312372204716448,30,340.2861785888672
gp,mn_v,0.9453428805121605,30,340.2861785888672
gp,mn_v,0.9478395967226694,30,340.2861785888672
gp,mn_v,0.9406807537957773,30,340.2861785888672
gp,mn_v,0.9393628531873277,30,340.2861785888672
gp,mn_v,0.9403516369262815,30,340.2861785888672
gp,mn_v,0.9441469637119363,30,340.2861785888672
gp,mn_v,0.9478649986522754,30,340.2861785888672
gp,mn_v,0.9418253289189454,30,340.2861785888672
gp,mn_v,0.940917964646825,30,340.2861785888672
gp,mn_v,0.9441778733747258,30,340.2861785888672
gp,mn_v,0.9453056834436249,30,340.2861785888672
gp,mn_v,0.932051341866174,30,340.2861785888672
gp,mn_v,0.9466221878707939,30,340.2861785888672
gp,mn_v,0.9411133554252439,30,340.2861785888672
gp,mn_v,0.9329282353919535,30,340.2861785888672
gp,mn_v,0.9293005173102131,30,340.2861785888672
hb,mn_v,0.9407524280673183,90,229.39955615997314
hb,mn_v,0.9548658959259445,90,229.39955615997314
hb,mn_v,0.9525125861150958,90,229.39955615997314
hb,mn_v,0.9531373992934993,90,229.39955615997314
hb,mn_v,0.9576916242777221,90,229.39955615997314
hb,mn_v,0.9375495673245139,90,229.39955615997314
hb,mn_v,0.9540730009227703,90,229.39955615997314
hb,mn_v,0.9500422490924436,90,229.39955615997314
hb,mn_v,0.950088533909959,90,229.39955615997314
hb,mn_v,0.9453739748388468,90,229.39955615997314
hb,mn_v,0.9488076668836177,90,229.39955615997314
hb,mn_v,0.9537569315319366,90,229.39955615997314
hb,mn_v,0.9558842854200265,90,229.39955615997314
hb,mn_v,0.9511515265858492,90,229.39955615997314
hb,mn_v,0.9563145926972748,90,229.39955615997314
hb,mn_v,0.9538767873297314,90,229.39955615997314
hb,mn_v,0.9489307063502324,90,229.39955615997314
hb,mn_v,0.9537408940992218,90,229.39955615997314
hb,mn_v,0.9447383703970953,90,229.39955615997314
hb,mn_v,0.9430242158989843,90,229.39955615997314
hb,mn_v,0.9531266946042312,90,229.39955615997314
hb,mn_v,0.9447746512354964,90,229.39955615997314
hb,mn_v,0.9402464502663304,90,229.39955615997314
hb,mn_v,0.9383109098582706,90,229.39955615997314
hb,mn_v,0.9535211962519059,90,229.39955615997314
hb,mn_v,0.9463834277462491,90,229.39955615997314
hb,mn_v,0.9612083298235747,90,229.39955615997314
hb,mn_v,0.9456908950254641,90,229.39955615997314
hb,mn_v,0.942732696646933,90,229.39955615997314
hb,mn_v,0.9350108632072084,90,229.39955615997314
rs,mn_b,0.7280386533706806,30,321.08755350112915
rs,mn_b,0.7388640737557008,30,321.08755350112915
rs,mn_b,0.7439449793565301,30,321.08755350112915
rs,mn_b,0.7511592925212093,30,321.08755350112915
rs,mn_b,0.7168622524119986,30,321.08755350112915
rs,mn_b,0.7315087917537564,30,321.08755350112915
rs,mn_b,0.7428131860089221,30,321.08755350112915
rs,mn_b,0.7411998770588022,30,321.08755350112915
rs,mn_b,0.7532269700044367,30,321.08755350112915
rs,mn_b,0.732225232921184,30,321.08755350112915
rs,mn_b,0.7455322588711909,30,321.08755350112915
